Strike,Call Bid,Call Ask,Put Bid,Put Ask
3800,1290.10,1314.25,0.40,0.50
3900,1192.95,1212.80,0.35,0.80
4000,1103.00,1107.95,0.70,0.85
4100,1005.00,1017.10,0.80,1.10
4200,894.95,913.90,1.00,1.20
4300,800.00,809.95,1.20,1.70
4400,696.15,709.50,1.90,2.00
4500,601.25,609.55,3.30,3.45
4600,500.70,520.00,4.45,4.50
4700,410.00,416.55,7.70,8.00
4800,316.00,321.05,13.20,13.40
4900,226.00,228.00,22.50,22.65
5000,144.50,145.00,40.40,40.50
5100,79.00,79.10,74.40,74.50
5200,34.75,35.00,129.00,129.95
5300,11.50,11.55,200.55,206.00
5400,3.60,3.65,286.00,307.00
5500,1.70,1.95,340.00,396.00
5600,1.00,1.35,481.00,507.35
5700,0.70,1.00,577.35,606.65
