Strike,Call Bid,Call Ask,Put Bid,Put Ask
4000,1100.15,1110.00,5.90,6.50
4100,1006.25,1026.90,7.15,8.50
4200,905.15,931.15,10.00,10.70
4300,809.15,844.75,13.55,14.00
4400,713.10,732.85,18.00,18.75
4500,615.70,668.35,22.35,25.00
4600,526.80,572.05,32.00,33.30
4700,444.35,464.15,41.00,45.00
4800,366.60,408.60,61.50,62.00
4900,300.00,307.30,84.55,86.50
5000,231.00,232.00,116.00,117.00
5100,171.10,171.50,156.00,158.00
5200,120.05,121.80,203.00,209.35
5300,79.60,80.50,252.85,265.00
5400,48.10,48.50,322.45,345.65
5500,29.00,32.00,405.00,437.10
5600,15.90,19.85,477.85,509.00
5700,9.15,9.75,575.25,609.00
